,Title,Role,Company,Location,Ctc,Experience,Skills
0,Business Analyst Job in Gurgaon at NCML - National Commodities Management Services Limited,Business Analyst,NCML - National Commodities Management Services Limited,Gurgaon,"₹ 3,00,000 - 4,20,000",0-2 years,"Advanced Excel,MS-PowerPoint,Power BI"
3,"Business Analyst Job in Faridabad, Gurgaon at Extension Technologies Private Limited",Business Analyst,Extension Technologies Private Limited,Faridabad,"₹ 2,50,000 - 3,60,000",1-2 years,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-PowerPoint,MS-Word,Research and Analytics,SQL,Wireframing"
7,Business Analyst Job in Mumbai at UFaber Edutech,Business Analyst,UFaber Edutech,Mumbai,"₹ 2,00,000 - 3,00,000",1-2 years,MS-Excel
10,Data Engineer Trainee Job in Jaipur at Midoffice Data,Data Engineer Trainee,Midoffice Data,Jaipur,"₹ 3,50,000 - 4,50,000",0-1 years,"Amazon Web Server (AWS),English Proficiency (Spoken),English Proficiency (Written),Google Cloud Computing,Microsoft Azure,Python,SQL"
13,Administration Associate Job in Mumbai at Wildship Enterprises Private Limited,Administration Associate,Wildship Enterprises Private Limited,Mumbai,"₹ 2,00,000 - 2,20,000",0-2 years,"Accounting,Data Analysis,English Proficiency (Written),MS-Excel"
16,Remote Chief Marketing Officer Job at BM INNOVATIONS PRIVATE LIMITED,Chief Marketing Officer,BM INNOVATIONS PRIVATE LIMITED,Work from home,"₹ 26,00,000 - 36,00,000",3-5 years,"Data Analysis,Deep Learning,Digital Marketing,Effective Communication,Product Management"
19,Remote Junior Social Media Marketing Specialist Job at BM INNOVATIONS PRIVATE LIMITED,Junior Social Media Marketing Specialist,BM INNOVATIONS PRIVATE LIMITED,Work from home,"₹ 10,00,000 - 13,00,000",4-5 years,"Client Relationship,Content Marketing,Creative Writing,Data Analysis,Design Thinking,Digital Advertising,Digital Marketing,Effective Communication,Project Management,Search Engine Optimization (SEO)"
22,Remote Finance Manager Job at BM INNOVATIONS PRIVATE LIMITED,Finance Manager,BM INNOVATIONS PRIVATE LIMITED,Work from home,"₹ 10,00,000 - 15,00,000",3-5 years,"Accounting,Business Research,Data Analysis,Design Thinking,Effective Communication,Financial Modeling"
25,Remote Competitive Intelligence Specialist Job at BM INNOVATIONS PRIVATE LIMITED,Competitive Intelligence Specialist,BM INNOVATIONS PRIVATE LIMITED,Work from home,"₹ 10,00,000 - 15,00,000",3-5 years,"Business Research,Effective Communication,Project Management,Research and Analytics,Storyboarding"
28,Business Development Associate Job in Bangalore at Urban Company,Business Development Associate,Urban Company,Bangalore,"₹ 2,40,000 - 3,00,000",0-2 years,"Data Analysis,English Proficiency (Spoken),MS-Excel,Sales pitch"
